#VORS text interface (grid = OSG, VO = all, res = 0)
#columns=ID,Name,Gatekeeper,Type,Grid,Status,Last Test Date
359,SBGrid-Harvard-Exp,abitibi.sbgrid.org:2119,compute,OSG,PASS,2009-02-19 18:27:48
282,SMU_PHY,smufarm.physics.smu.edu:2119,compute,OSG,PASS,2009-02-19 18:31:25
38,SPRACE,osg-ce.sprace.org.br:2119,compute,OSG,PASS,2009-02-19 18:34:14
266,SPRACE-SE,spdc00.if.usp.br,storage,OSG,FAIL,2007-11-05 15:04:54
217,STAR-BNL,stargrid02.rcf.bnl.gov:2119,compute,OSG,PASS,2009-02-19 12:16:26
44,STAR-WSU,rhic20.physics.wayne.edu:2119,compute,OSG,PASS,2009-02-19 12:21:04
354,SWT2_CPB,gk01.atlas-swt2.org:2119,compute,OSG,PASS,2009-02-19 12:25:38
3,T2_Nebraska_Storage,srm.unl.edu,storage,OSG,PASS,2007-11-05 15:04:55
19,TTU-ANTAEUS,antaeus.hpcc.ttu.edu:2119,compute,OSG,PASS,2009-02-19 12:40:42
28,UC_ATLAS_MWT2,tier2-osg.uchicago.edu:2119,compute,OSG,PASS,2009-02-19 12:43:50
30,UC_Teraport,tp-osg.uchicago.edu:2119,compute,OSG,PASS,2009-02-19 12:45:21
335,UCLA_Saxon_Tier3,saxon.hosted.ats.ucla.edu:2119,compute,OSG,PASS,2009-02-19 12:48:16
380,UColorado_HEP,heposg01.colorado.edu:2119,compute,OSG,PASS,2009-02-19 12:50:06
302,UCR-HEP,top.ucr.edu:2119,compute,OSG,PASS,2009-02-19 12:53:33
236,UCSDT2,osg-gw-2.t2.ucsd.edu:2119,compute,OSG,PASS,2009-02-19 12:58:37
323,UCSDT2-B,osg-gw-4.t2.ucsd.edu:2119,compute,OSG,PASS,2009-02-19 13:01:10
280,UFlorida-HPC,iogw1.hpc.ufl.edu:2119,compute,OSG,PASS,2009-02-19 13:02:52
24,UFlorida-PG,pg.ihepa.ufl.edu:2119,compute,OSG,PASS,2009-02-19 13:05:21
257,UFlorida-PG:srm_v1,srm.ihepa.ufl.edu,storage,OSG,PASS,2007-11-05 15:08:23
278,UIC_PHYSICS,mstr1.cluster.phy.uic.edu:2119,compute,OSG,PASS,2009-02-19 13:08:44
376,umd-cms,hepcms-0.umd.edu:2119,compute,OSG,PASS,2009-02-19 13:13:51
363,UmissHEP,umiss001.hep.olemiss.edu:2119,compute,OSG,PASS,2009-02-19 13:17:05
32,UNM_HPC,milta.alliance.unm.edu:2119,compute,OSG,PASS,2009-02-19 13:19:52
31,USCMS-FNAL-WC1-CE,cmsosgce.fnal.gov:2119,compute,OSG,PASS,2009-02-19 13:23:15
315,USCMS-FNAL-WC1-CE2,cmsosgce2.fnal.gov:2119,compute,OSG,PASS,2009-02-19 13:29:12
336,USCMS-FNAL-WC1-CE3,cmsosgce3.fnal.gov:2119,compute,OSG,PASS,2009-02-19 13:35:23
343,USCMS-FNAL-WC1-CE4,cmsosgce4.fnal.gov:2119,compute,OSG,PASS,2009-02-19 13:38:30
242,USCMS-FNAL-WC1-SE,cmsosgce.fnal.gov,storage,OSG,FAIL,2007-11-05 15:10:16
7,UTA_DPCC,atlas.dpcc.uta.edu:2119,compute,OSG,PASS,2009-02-19 13:40:28
347,UTA_SWT2,gk04.swt2.uta.edu:2119,compute,OSG,PASS,2009-02-19 13:55:32
395,UTD-HEP,fester.utdallas.edu:2119,compute,OSG,PASS,2009-02-19 13:58:42
18,Vanderbilt,vampire.accre.vanderbilt.edu:2119,compute,OSG,PASS,2009-02-19 14:01:52
342,WISC-OSG-EDU,osg-edu.cs.wisc.edu:2119,compute,OSG,PASS,2009-02-19 14:03:18
22,WT2,osgserv01.slac.stanford.edu:2119,compute,OSG,PASS,2009-02-19 14:08:25
